Produce,Spring,Summer,Fall,Winter,Fruit Or Vegetable
Apples,Yes,Yes,Yes,Yes,Fruit
Apricots,Yes,Yes,No,No,Fruit
Asparagus,Yes,No,No,No,Vegetable
Avocados,Yes,Yes,No,Yes,Vegetable
Bananas,Yes,Yes,Yes,Yes,Fruit
Beets,No,Yes,Yes,Yes,Vegetable
Bell Peppers,No,Yes,Yes,No,Vegetable
Blackberries,No,Yes,No,No,Fruit
Blueberries,No,Yes,No,No,Fruit
Broccoli,Yes,No,Yes,No,Vegetable
Brussels Sprouts,No,No,Yes,Yes,Vegetable
Cabbage,Yes,No,Yes,Yes,Vegetable
Cantaloupe,No,Yes,No,No,Fruit
Carrots,Yes,Yes,Yes,Yes,Vegetable
Cauliflower,No,No,Yes,No,Vegetable
Celery,Yes,Yes,Yes,Yes,Vegetable
Cherries,No,Yes,No,No,Fruit
Collard Greens,Yes,No,Yes,Yes,Vegetable
Corn,No,Yes,No,No,Vegetable
Cranberries,No,No,Yes,No,Fruit
Cucumbers,No,Yes,No,No,Vegetable
Eggplant,No,Yes,No,No,Vegetable
Garlic,Yes,Yes,Yes,No,Vegetable
Ginger,No,No,Yes,No,Vegetable
Grapefruit,No,No,No,Yes,Fruit
Grapes,No,No,Yes,No,Fruit
Green Beans,No,Yes,Yes,No,Vegetable
Honeydew Melon,No,Yes,No,No,Fruit
Kale,Yes,No,Yes,Yes,Vegetable
Kiwifruit,Yes,No,Yes,Yes,Fruit
Leeks,No,No,No,Yes,Vegetable
Lemons,Yes,Yes,Yes,Yes,Fruit
Lettuce,Yes,No,Yes,No,Vegetable
Lima Beans,No,Yes,No,No,Vegetable
Limes,Yes,Yes,Yes,Yes,Fruit
Mangos,No,Yes,Yes,No,Fruit
Mushrooms,Yes,No,Yes,No,Vegetable
Okra,No,Yes,No,No,Vegetable
Onions,Yes,No,Yes,Yes,Vegetable
Oranges,No,No,No,Yes,Fruit
Parsnips,No,No,Yes,Yes,Vegetable
Peaches,No,Yes,No,No,Fruit
Pears,No,No,Yes,Yes,Fruit
Peas,Yes,No,Yes,No,Vegetable
Pineapples,Yes,No,Yes,Yes,Fruit
Plums,No,Yes,No,No,Fruit
Potatoes,No,No,Yes,Yes,Vegetable
Pumpkin,No,No,Yes,Yes,Vegetable
Radishes,Yes,No,Yes,No,Vegetable
Raspberries,No,Yes,Yes,No,Fruit
Rhubarb,Yes,No,No,No,Vegetable
Rutabagas,No,No,Yes,Yes,Vegetable
Spinach,Yes,No,Yes,No,Vegetable
Strawberries,Yes,Yes,No,No,Fruit
Summer Squash,No,Yes,No,No,Vegetable
Sweet Potatoes,No,No,Yes,Yes,Vegetable
Swiss Chard,Yes,No,Yes,Yes,Vegetable
Tomatillos,No,Yes,No,No,Fruit
Tomatoes,No,Yes,No,No,Fruit
Turnips,Yes,No,Yes,Yes,Vegetable
Watermelon,No,Yes,No,No,Fruit
Winter Squash,No,No,Yes,Yes,Vegetable
Zucchini,No,Yes,No,No,Vegetable